code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-16 11:39:00,11.46,11.48,11.48,11.46,0.0,0.0,1400,16060.0,0.1745200698080242,11.46
HK.01157,2021-03-16 11:40:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 11:41:00,11.48,11.48,11.48,11.48,0.0,0.0,2600,29848.0,0.0,11.48
HK.01157,2021-03-16 11:42:00,11.48,11.48,11.48,11.48,0.0,0.0,600,6888.0,0.0,11.48
HK.01157,2021-03-16 11:43:00,11.48,11.48,11.48,11.48,0.0,0.0,1800,20664.0,0.0,11.48
HK.01157,2021-03-16 11:44:00,11.48,11.46,11.48,11.46,0.0,0.0,1200,13756.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 11:45:00,11.48,11.48,11.48,11.48,0.0,0.0,23200,266336.0,0.1745200698080242,11.46
HK.01157,2021-03-16 11:46:00,11.48,11.48,11.48,11.48,0.0,0.0,3600,41328.0,0.0,11.48
HK.01157,2021-03-16 11:47:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 11:48:00,11.48,11.48,11.48,11.48,0.0,0.0,6200,71176.0,0.0,11.48
HK.01157,2021-03-16 11:49:00,11.48,11.46,11.48,11.46,0.0,0.0,63000,722024.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 11:50:00,11.46,11.46,11.46,11.46,0.0,0.0,2200,25212.0,0.0,11.46
HK.01157,2021-03-16 11:51:00,11.48,11.48,11.48,11.48,0.0,0.0,600,6888.0,0.1745200698080242,11.46
HK.01157,2021-03-16 11:52:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 11:53:00,11.48,11.48,11.48,11.48,0.0,0.0,200,2296.0,0.0,11.48
HK.01157,2021-03-16 11:54:00,11.48,11.48,11.48,11.48,0.0,0.0,200,2296.0,0.0,11.48
HK.01157,2021-03-16 11:55:00,11.48,11.48,11.48,11.48,0.0,0.0,200,2296.0,0.0,11.48
HK.01157,2021-03-16 11:56:00,11.48,11.48,11.48,11.46,0.0,0.0,3800,43584.0,0.0,11.48
HK.01157,2021-03-16 11:57:00,11.48,11.48,11.48,11.48,0.0,0.0,8000,91840.0,0.0,11.48
HK.01157,2021-03-16 11:58:00,11.48,11.48,11.48,11.46,0.0,0.0,4600,52804.0,0.0,11.48
HK.01157,2021-03-16 11:59:00,11.48,11.48,11.5,11.48,0.0,0.0,7600,87332.0,0.0,11.48
HK.01157,2021-03-16 12:00:00,11.5,11.5,11.5,11.5,0.0,0.0,2400,27600.0,0.17421602787456072,11.48
HK.01157,2021-03-16 13:01:00,11.5,11.5,11.52,11.5,0.0,0.0,316600,3641218.0,0.0,11.5
HK.01157,2021-03-16 13:02:00,11.48,11.4,11.48,11.4,0.0,0.0,128600,1472228.0,-0.8695652173913012,11.5
HK.01157,2021-03-16 13:03:00,11.46,11.46,11.46,11.46,0.0,0.0,400,4584.0,0.5263157894736885,11.4
HK.01157,2021-03-16 13:04:00,11.42,11.46,11.46,11.42,0.0,0.0,181200,2075740.0,0.0,11.46
HK.01157,2021-03-16 13:05:00,11.46,11.46,11.46,11.42,0.0,0.0,172800,1980204.0,0.0,11.46
HK.01157,2021-03-16 13:06:00,11.46,11.48,11.48,11.46,0.0,0.0,26000,298124.0,0.1745200698080242,11.46
HK.01157,2021-03-16 13:07:00,11.46,11.48,11.5,11.46,0.0,0.0,50800,583360.0,0.0,11.48
HK.01157,2021-03-16 13:08:00,11.46,11.44,11.46,11.42,0.0,0.0,58400,668072.0,-0.34843205574913694,11.48
HK.01157,2021-03-16 13:09:00,11.42,11.42,11.42,11.42,0.0,0.0,2000,22840.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 13:10:00,11.44,11.46,11.46,11.44,0.0,0.0,20600,235692.0,0.3502626970227752,11.42
HK.01157,2021-03-16 13:11:00,11.44,11.46,11.46,11.44,0.0,0.0,12200,139700.0,0.0,11.46
HK.01157,2021-03-16 13:12:00,11.42,11.46,11.46,11.42,0.0,0.0,1400,16016.0,0.0,11.46
HK.01157,2021-03-16 13:13:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:14:00,11.46,11.46,11.46,11.46,0.0,0.0,1400,16044.0,0.0,11.46
HK.01157,2021-03-16 13:15:00,11.46,11.46,11.46,11.46,0.0,0.0,5200,59592.0,0.0,11.46
HK.01157,2021-03-16 13:16:00,11.46,11.46,11.46,11.46,0.0,0.0,2000,22920.0,0.0,11.46
HK.01157,2021-03-16 13:17:00,11.44,11.4,11.44,11.4,0.0,0.0,66400,759312.0,-0.5235602094240881,11.46
HK.01157,2021-03-16 13:18:00,11.4,11.42,11.44,11.4,0.0,0.0,6400,73012.0,0.1754385964912243,11.4
HK.01157,2021-03-16 13:19:00,11.42,11.44,11.44,11.42,0.0,0.0,21000,239840.0,0.17513134851137982,11.42
HK.01157,2021-03-16 13:20:00,11.42,11.42,11.42,11.42,0.0,0.0,200,2284.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 13:21:00,11.42,11.46,11.46,11.4,0.0,0.0,101600,1160796.0,0.3502626970227752,11.42
HK.01157,2021-03-16 13:22:00,11.46,11.46,11.46,11.46,0.0,0.0,1200,13752.0,0.0,11.46
HK.01157,2021-03-16 13:23:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:24:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:25:00,11.46,11.46,11.46,11.46,0.0,0.0,16600,190236.0,0.0,11.46
HK.01157,2021-03-16 13:26:00,11.46,11.46,11.46,11.46,0.0,0.0,17200,197112.0,0.0,11.46
HK.01157,2021-03-16 13:27:00,11.46,11.46,11.46,11.46,0.0,0.0,600,6876.0,0.0,11.46
HK.01157,2021-03-16 13:28:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:29:00,11.46,11.46,11.46,11.4,0.0,0.0,94600,1081444.0,0.0,11.46
HK.01157,2021-03-16 13:30:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:31:00,11.46,11.48,11.48,11.46,0.0,0.0,84800,972164.0,0.1745200698080242,11.46
HK.01157,2021-03-16 13:32:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 13:33:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 13:34:00,11.5,11.5,11.5,11.5,0.0,0.0,1400,16100.0,0.17421602787456072,11.48
HK.01157,2021-03-16 13:35:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,-0.17391304347825717,11.5
HK.01157,2021-03-16 13:36:00,11.48,11.48,11.48,11.48,0.0,0.0,3800,43624.0,0.0,11.48
HK.01157,2021-03-16 13:37:00,11.48,11.5,11.5,11.48,0.0,0.0,71400,820072.0,0.17421602787456072,11.48
HK.01157,2021-03-16 13:38:00,11.5,11.5,11.5,11.46,0.0,0.0,6200,71116.0,0.0,11.5
HK.01157,2021-03-16 13:39:00,11.48,11.48,11.48,11.48,0.0,0.0,200,2296.0,-0.17391304347825717,11.5
HK.01157,2021-03-16 13:40:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 13:41:00,11.5,11.5,11.52,11.5,0.0,0.0,146800,1688640.0,0.17421602787456072,11.48
HK.01157,2021-03-16 13:42:00,11.5,11.48,11.5,11.48,0.0,0.0,34200,392716.0,-0.17391304347825717,11.5
HK.01157,2021-03-16 13:43:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 13:44:00,11.46,11.48,11.48,11.46,0.0,0.0,16000,183384.0,0.0,11.48
HK.01157,2021-03-16 13:45:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 13:46:00,11.46,11.46,11.46,11.46,0.0,0.0,1800,20628.0,0.0,11.46
HK.01157,2021-03-16 13:47:00,11.46,11.46,11.46,11.46,0.0,0.0,1000,11460.0,0.0,11.46
HK.01157,2021-03-16 13:48:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 13:49:00,11.46,11.46,11.46,11.46,0.0,0.0,600,6876.0,0.0,11.46
HK.01157,2021-03-16 13:50:00,11.46,11.46,11.46,11.46,0.0,0.0,800,9168.0,0.0,11.46
HK.01157,2021-03-16 13:51:00,11.46,11.46,11.46,11.42,0.0,0.0,107600,1231124.0,0.0,11.46
HK.01157,2021-03-16 13:52:00,11.46,11.48,11.48,11.46,0.0,0.0,87800,1006480.0,0.1745200698080242,11.46
HK.01157,2021-03-16 13:53:00,11.48,11.46,11.48,11.42,0.0,0.0,60800,695664.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 13:54:00,11.44,11.46,11.46,11.44,0.0,0.0,11400,130472.0,0.0,11.46
HK.01157,2021-03-16 13:55:00,11.44,11.44,11.46,11.44,0.0,0.0,8800,100720.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 13:56:00,11.44,11.46,11.46,11.44,0.0,0.0,10400,119060.0,0.17482517482518664,11.44
HK.01157,2021-03-16 13:57:00,11.44,11.46,11.46,11.44,0.0,0.0,32000,366244.0,0.0,11.46
HK.01157,2021-03-16 13:58:00,11.44,11.46,11.46,11.44,0.0,0.0,75400,862792.0,0.0,11.46
HK.01157,2021-03-16 13:59:00,11.46,11.46,11.46,11.44,0.0,0.0,68000,779000.0,0.0,11.46
HK.01157,2021-03-16 14:00:00,11.46,11.46,11.46,11.46,0.0,0.0,4000,45840.0,0.0,11.46
HK.01157,2021-03-16 14:01:00,11.46,11.46,11.46,11.46,0.0,0.0,3600,41256.0,0.0,11.46
HK.01157,2021-03-16 14:02:00,11.44,11.44,11.46,11.44,0.0,0.0,30000,343276.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 14:03:00,11.46,11.46,11.46,11.44,0.0,0.0,11800,135032.0,0.17482517482518664,11.44
HK.01157,2021-03-16 14:04:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 14:05:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 14:06:00,11.46,11.46,11.46,11.46,0.0,0.0,2600,29796.0,0.0,11.46
HK.01157,2021-03-16 14:07:00,11.46,11.46,11.46,11.44,0.0,0.0,13800,157944.0,0.0,11.46
HK.01157,2021-03-16 14:08:00,11.46,11.46,11.46,11.46,0.0,0.0,1000,11460.0,0.0,11.46
HK.01157,2021-03-16 14:09:00,11.46,11.46,11.46,11.46,0.0,0.0,600,6876.0,0.0,11.46
HK.01157,2021-03-16 14:10:00,11.46,11.46,11.46,11.46,0.0,0.0,1400,16044.0,0.0,11.46
HK.01157,2021-03-16 14:11:00,11.46,11.46,11.46,11.46,0.0,0.0,6800,77928.0,0.0,11.46
HK.01157,2021-03-16 14:12:00,11.46,11.46,11.46,11.44,0.0,0.0,1200,13748.0,0.0,11.46
